customer_id,first_name,last_name,email,signup_date,country
1000,Wpzlua,Qchpsdt,wpzlua.qchpsdt@example.com,2023-08-04,India
1001,Yzmkov,Ipkxivi,yzmkov.ipkxivi@example.com,2022-04-10,USA
1002,Ptxukr,Iqgqdya,ptxukr.iqgqdya@example.com,2021-03-05,Germany
1003,Yycyro,Lzxnaca,yycyro.lzxnaca@example.com,2024-11-22,Canada
1004,Zuxvxc,Aazelpw,zuxvxc.aazelpw@example.com,2021-10-06,India
1005,Rcuftr,Kxdrhak,rcuftr.kxdrhak@example.com,2023-11-25,UK
1006,Amoztr,Lqmeces,amoztr.lqmeces@example.com,2022-04-02,Germany
1007,Gxpgff,Owcqbwe,gxpgff.owcqbwe@example.com,2022-11-26,Canada
1008,Ncjmjb,Oibpawo,ncjmjb.oibpawo@example.com,2021-03-20,USA
1009,Yktmgv,Ffmcriz,yktmgv.ffmcriz@example.com,2021-05-12,UK
1010,Phizna,Pmydxcm,phizna.pmydxcm@example.com,2022-07-18,USA
1011,Oetkwu,Obltqwn,oetkwu.obltqwn@example.com,2024-10-21,Germany
1012,Rldvxq,Dbapjbc,rldvxq.dbapjbc@example.com,2022-11-13,India
1013,Qmlskh,Ejpwwfq,qmlskh.ejpwwfq@example.com,2021-05-24,USA
1014,Izkjsf,Vvjucem,izkjsf.vvjucem@example.com,2022-11-01,UK
1015,Lmwzen,Yhzvacg,lmwzen.yhzvacg@example.com,2023-12-24,India
1016,Iccnre,Omrnwjt,iccnre.omrnwjt@example.com,2023-09-15,UK
1017,Giyasq,Mfkgega,giyasq.mfkgega@example.com,2023-12-14,Germany
1018,Xesbzu,Ibvbiwb,xesbzu.ibvbiwb@example.com,2020-03-28,USA
1019,Bflgxa,Dgagtig,bflgxa.dgagtig@example.com,2021-10-12,Germany
1020,Wreoml,Bimxtky,wreoml.bimxtky@example.com,2024-01-18,India
1021,Qkjtel,Solpfja,qkjtel.solpfja@example.com,2024-09-07,UK
1022,Cxvomz,Wvkcjnv,cxvomz.wvkcjnv@example.com,2023-09-26,Germany
1023,Tsfaxe,Omzpiio,tsfaxe.omzpiio@example.com,2020-09-23,UK
1024,Nstuuk,Eyfccby,nstuuk.eyfccby@example.com,2020-07-26,Germany
1025,Xccwge,Mretqyz,xccwge.mretqyz@example.com,2021-06-05,USA
1026,Fhunbz,Gbqsvwf,fhunbz.gbqsvwf@example.com,2023-11-06,India
1027,Bhygjh,Nqegems,bhygjh.nqegems@example.com,2022-05-27,Canada
1028,Tzbsfn,Vmmyeda,tzbsfn.vmmyeda@example.com,2020-06-28,USA
1029,Zmlfoc,Cmvdshl,zmlfoc.cmvdshl@example.com,2020-03-22,India
1030,Wffnjm,Ulffdyq,wffnjm.ulffdyq@example.com,2022-08-08,USA
1031,Rreuce,Afacuib,rreuce.afacuib@example.com,2022-01-27,India
1032,Lrybxw,Tssztsl,lrybxw.tssztsl@example.com,2024-08-13,UK
1033,Fmjtlb,Wplosgk,fmjtlb.wplosgk@example.com,2022-12-08,UK
1034,Pognxn,Utpuhvx,pognxn.utpuhvx@example.com,2020-06-23,India
1035,Rjqkjh,Qxnelta,rjqkjh.qxnelta@example.com,2022-02-25,USA
1036,Twysoj,Cpltszr,twysoj.cpltszr@example.com,2021-04-19,UK
1037,Awjbyh,Vwxbsnv,awjbyh.vwxbsnv@example.com,2021-02-09,UK
1038,Nuhrlm,Dyraekv,nuhrlm.dyraekv@example.com,2024-09-23,India
1039,Xhyqjn,Tynsoqd,xhyqjn.tynsoqd@example.com,2020-04-11,India
1040,Qnrhwz,Rnlizch,qnrhwz.rnlizch@example.com,2020-08-14,India
1041,Irjedk,Rgupsig,irjedk.rgupsig@example.com,2021-07-25,Germany
